vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2023-01-01T00:49:27.000,2023-01-01T00:50:32.000,1.0,0.34,1.0,N,264,264,1,3.7,1.0,0.5,1.86,0.0,1.0,8.06,0.0,0.0
1,2023-01-01T00:43:53.000,2023-01-01T00:59:48.000,0.0,1.5,1.0,N,162,142,1,12.8,3.5,0.5,4.45,0.0,1.0,22.25,2.5,0.0
2,2023-01-01T00:46:32.000,2023-01-01T00:49:33.000,1.0,0.47,1.0,N,107,107,1,5.1,1.0,0.5,2.02,0.0,1.0,12.12,2.5,0.0
2,2023-01-01T00:13:54.000,2023-01-01T00:19:01.000,1.0,0.5,1.0,N,79,79,1,6.5,1.0,0.5,2.3,0.0,1.0,13.8,2.5,0.0
2,2023-01-01T00:42:38.000,2023-01-01T00:51:17.000,1.0,2.72,1.0,N,236,42,2,13.5,1.0,0.5,0.0,0.0,1.0,18.5,2.5,0.0
2,2023-01-01T00:11:46.000,2023-01-01T00:15:20.000,1.0,0.62,1.0,N,264,264,1,5.8,1.0,0.5,3.0,0.0,1.0,11.3,0.0,0.0
2,2023-01-01T00:48:41.000,2023-01-01T01:03:24.000,1.0,2.89,1.0,N,107,88,1,16.3,1.0,0.5,4.26,0.0,1.0,25.56,2.5,0.0
2,2023-01-01T00:50:21.000,2023-01-01T00:57:39.000,2.0,1.65,1.0,N,263,162,2,10.0,1.0,0.5,0.0,0.0,1.0,15.0,2.5,0.0
2,2023-01-01T00:21:17.000,2023-01-01T00:25:13.000,1.0,0.88,1.0,N,170,137,1,6.5,1.0,0.5,2.3,0.0,1.0,13.8,2.5,0.0
2,2023-01-01T00:35:12.000,2023-01-01T00:48:52.000,1.0,4.04,1.0,N,107,87,1,20.5,1.0,0.5,5.1,0.0,1.0,30.6,2.5,0.0
2,2023-01-01T00:00:47.000,2023-01-01T00:04:32.000,3.0,0.95,1.0,N,79,107,1,6.5,1.0,0.5,5.0,0.0,1.0,16.5,2.5,0.0
2,2023-01-01T00:34:39.000,2023-01-01T00:40:25.000,2.0,0.85,1.0,N,79,113,4,-7.2,-1.0,-0.5,0.0,0.0,-1.0,-12.2,-2.5,0.0
1,2023-01-01T00:12:57.000,2023-01-01T00:27:15.000,1.0,2.2,1.0,N,246,224,1,13.5,3.5,0.5,0.03,0.0,1.0,18.53,2.5,0.0
1,2023-01-01T00:50:01.000,2023-01-01T00:54:52.000,2.0,0.7,1.0,N,249,249,1,5.8,3.5,0.5,2.15,0.0,1.0,12.95,2.5,0.0
